epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,14470.3,1.3567,0.78258,0.9479,0.7207,0.43926,0.49408,0.27988,1.30462,0.71489,0.92834,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14688.4,1.35682,0.78296,0.948,0.72312,0.43835,0.4944,0.28008,1.30427,0.7145,0.92818,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14906.8,1.35736,0.78209,0.94804,0.72712,0.4365,0.49499,0.28063,1.30396,0.71417,0.92798,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15124.9,1.35313,0.77928,0.94719,0.72985,0.43651,0.49525,0.28069,1.30368,0.71369,0.92778,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15342.6,1.35256,0.77876,0.94642,0.7293,0.43727,0.49552,0.28101,1.30335,0.71339,0.92753,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,15560.7,1.35135,0.77775,0.94635,0.73022,0.43711,0.4955,0.2812,1.30307,0.7131,0.92733,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,15778.8,1.35097,0.77734,0.94622,0.73154,0.43634,0.4957,0.28139,1.3028,0.71286,0.92718,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15996.6,1.35021,0.7753,0.9458,0.7297,0.4387,0.49607,0.28143,1.30261,0.71253,0.92698,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16215,1.34794,0.77519,0.94512,0.72732,0.43969,0.49618,0.2818,1.30242,0.71227,0.92675,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,16432.9,1.34699,0.77197,0.94443,0.72764,0.43985,0.49667,0.28212,1.30213,0.712,0.92641,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,16651.4,1.34664,0.77175,0.94383,0.72796,0.43968,0.49692,0.28224,1.30164,0.71172,0.92605,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,16869.8,1.34304,0.76983,0.94343,0.72429,0.44113,0.49673,0.28238,1.30125,0.71145,0.92587,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,17088.5,1.3414,0.76675,0.94282,0.72213,0.44286,0.49706,0.2826,1.30091,0.71121,0.9256,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,17307,1.34217,0.76709,0.94264,0.72237,0.44292,0.49758,0.28286,1.30056,0.71108,0.92539,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,17525.4,1.33999,0.76487,0.94267,0.72018,0.44455,0.49801,0.28308,1.30025,0.71092,0.92525,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,17743.8,1.33883,0.76342,0.94211,0.722,0.4451,0.49849,0.28316,1.30006,0.71051,0.92513,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,17962.2,1.33839,0.76221,0.94171,0.72146,0.44593,0.4987,0.28309,1.29973,0.71024,0.92498,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18180.4,1.33466,0.75974,0.94023,0.72284,0.44527,0.49851,0.28326,1.29932,0.70994,0.92484,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,18398.3,1.33645,0.759,0.94085,0.72186,0.44585,0.49841,0.28329,1.29907,0.7097,0.9246,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,18616.5,1.33206,0.75625,0.94004,0.72186,0.44564,0.49922,0.28352,1.29873,0.70942,0.92442,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,18834.9,1.33057,0.75468,0.93926,0.72406,0.44561,0.49966,0.28373,1.2984,0.70924,0.92419,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19053.3,1.3304,0.75373,0.93868,0.72201,0.44606,0.49978,0.28407,1.29811,0.70902,0.92395,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,19271.4,1.32812,0.75157,0.93847,0.7236,0.44603,0.49991,0.28448,1.29786,0.70872,0.92373,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,19489.8,1.32643,0.75002,0.93779,0.7218,0.44589,0.50004,0.28467,1.29768,0.70849,0.92359,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,19708,1.3253,0.74789,0.93623,0.72145,0.4473,0.50022,0.2848,1.29747,0.70822,0.92335,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,19922.9,1.34304,0.74182,0.94132,0.72385,0.44457,0.50024,0.28482,1.29715,0.7081,0.9231,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,20129.1,1.33949,0.73812,0.9407,0.72342,0.44428,0.50066,0.28497,1.29679,0.70812,0.9229,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,20334.7,1.33769,0.73548,0.94032,0.72196,0.44593,0.50072,0.28529,1.29658,0.70785,0.92287,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,20540.8,1.33447,0.73194,0.93868,0.72066,0.44683,0.50086,0.28535,1.29652,0.70776,0.92278,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,20746.7,1.3327,0.72962,0.93816,0.72096,0.44733,0.50113,0.28561,1.29641,0.70755,0.92263,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,20952.5,1.3308,0.72716,0.93707,0.72062,0.44748,0.50138,0.28577,1.29625,0.70755,0.92243,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,21158.1,1.32842,0.72412,0.93704,0.72155,0.44781,0.50144,0.28593,1.29628,0.70738,0.92243,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,21363.8,1.32547,0.72064,0.93606,0.72205,0.44746,0.50161,0.28585,1.29635,0.70732,0.92235,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,21570,1.32335,0.71946,0.93556,0.71852,0.44989,0.50157,0.28606,1.29632,0.70708,0.92226,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,21775.8,1.32036,0.71585,0.93407,0.72039,0.44884,0.50186,0.28614,1.29631,0.70694,0.92216,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
